City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
131,ostersund,63.1792,14.6357,7.25,36,20,4.63,SE,1683600471
132,miri,4.4148,114.0089,32.08,66,40,2.57,MY,1683600471
133,antsiranana,-12.2787,49.2917,23.6,78,6,5.13,MG,1683600472
134,braganca,-1.0536,-46.7656,23.18,98,81,0.51,BR,1683600450
135,carnarvon,-24.8667,113.6333,26.61,44,30,2.53,AU,1683600472
136,kuraymah,18.55,31.85,22.66,19,1,5.05,SD,1683600472
137,kingston,17.997,-76.7936,28.53,83,20,6.17,JM,1683600168
138,nemuro,43.3236,145.575,7.32,77,3,6.45,JP,1683600256
139,tome acu,-2.4189,-48.1522,22.67,99,69,1.04,BR,1683600473
140,glace bay,46.1969,-59.957,3.77,94,100,6.17,CA,1683600473
141,lospalos,-8.5186,127.0025,23.35,95,100,3.51,TL,1683600412
142,al bawiti,28.3492,28.8659,16.06,69,0,3.73,EG,1683600473
143,san jose del guaviare,2.5729,-72.6459,23.11,97,97,0.82,CO,1683600473
144,iskateley,67.6803,53.1512,-0.19,86,99,5.05,RU,1683600243
145,sinabang,2.4803,96.3801,27.4,78,94,0.6,ID,1683600258
146,georgetown,5.4112,100.3354,30.97,70,20,3.09,MY,1683600212
147,petropavlovsk-kamchatsky,53.0452,158.6483,5.33,49,75,2.0,RU,1683600207
148,novyy urengoy,66.0833,76.6333,-10.06,88,86,9.38,RU,1683600474
149,mangatarem,15.7874,120.2921,33.19,58,86,2.13,PH,1683600475
150,al mutayrifi,25.4788,49.5576,28.19,11,100,4.13,SA,1683600475
151,boende,-0.2167,20.8667,21.38,96,92,1.06,CD,1683600475
152,west island,-12.1568,96.8225,28.99,84,40,3.6,CC,1683600207
153,rio grande,-32.035,-52.0986,14.95,80,0,4.49,BR,1683600475
154,klyuchi,52.2667,79.1667,20.09,38,74,5.18,RU,1683600232
155,franceville,-1.6333,13.5836,21.67,98,88,0.99,GA,1683600476
156,tolanaro,-25.0319,46.9987,22.04,88,20,4.12,MG,1683600253
157,huanuni,-18.2667,-66.85,4.02,67,68,2.02,BO,1683600476
158,antofagasta,-23.65,-70.4,15.6,74,44,2.57,CL,1683600476
159,okha,53.5739,142.9478,2.3,81,81,6.11,RU,1683600221
160,invercargill,-46.4,168.35,8.34,95,100,1.34,NZ,1683600042
161,hammerfest,70.6634,23.6821,2.25,93,100,2.06,NO,1683600421
162,papatowai,-46.5619,169.4708,11.32,92,100,3.99,NZ,1683600094
163,el calafate,-50.3408,-72.2768,5.35,85,8,2.21,AR,1683600477
164,sao jose da coroa grande,-8.8978,-35.1478,25.11,83,17,1.25,BR,1683600477
165,mermoz boabab,14.7065,-17.4758,22.88,88,40,2.06,SN,1683600477
166,nakskov,54.8373,11.1284,8.39,80,100,9.32,DK,1683600477
167,ust-nera,64.5667,143.2,2.28,60,92,2.34,RU,1683600478
168,rundu,-17.9333,19.7667,15.89,45,39,1.55,NA,1683600478
169,praia da vitoria,38.7333,-27.0667,16.53,100,20,1.18,PT,1683600252
170,kone,-21.0595,164.8658,25.94,63,86,3.62,NC,1683600247
171,utrik,11.2278,169.8474,27.05,84,99,8.14,MH,1683600055
172,taulaga,-11.0553,-171.0883,29.0,74,28,4.92,AS,1683600478
173,christchurch,-43.5333,172.6333,17.19,82,75,2.57,NZ,1683600479
174,gokarna,14.55,74.3167,27.1,80,100,1.06,IN,1683600479
175,la ronge,55.1001,-105.2842,14.14,38,75,1.03,CA,1683600479
176,brokopondo,4.75,-55.1667,24.95,92,100,3.76,SR,1683600479
177,east london,-33.0153,27.9116,16.51,76,44,1.86,ZA,1683600206
178,uthal,25.8072,66.6219,30.96,40,0,1.18,PK,1683600480
179,ende,-8.8432,121.6623,27.8,85,95,3.79,ID,1683600480
180,tezu,27.9167,96.1667,31.07,34,11,1.4,IN,1683600480
181,jerome,42.7241,-114.5186,11.46,67,0,7.72,US,1683600480
182,port elizabeth,-33.918,25.5701,17.95,81,0,3.6,ZA,1683600235
183,aasiaat,68.7098,-52.8699,-4.62,83,100,3.58,GL,1683600216
184,hadibu,12.65,54.0333,28.07,71,89,2.21,YE,1683600329
185,albany,42.6001,-73.9662,13.23,52,72,2.08,US,1683600469
186,dudinka,69.4058,86.1778,-8.86,92,100,6.64,RU,1683600213
187,eilat,29.5581,34.9482,19.91,60,0,2.57,IL,1683600481
188,talnakh,69.4865,88.3972,-3.85,93,100,4.11,RU,1683600048
189,lethem,3.3803,-59.7968,25.03,87,70,2.67,GY,1683600481
190,bethel,41.3712,-73.414,16.53,52,0,0.45,US,1683600389
191,ishqoshim,36.7248,71.6133,3.8,56,9,0.48,TJ,1683600482
192,bratsk,56.1325,101.6142,16.27,43,42,3.96,RU,1683600482
193,lebu,-37.6167,-73.65,10.7,77,100,6.48,CL,1683600211
194,mount pearl,47.5166,-52.7813,6.09,96,100,9.77,CA,1683600160
195,priozersk,61.0393,30.1291,6.72,88,100,3.62,RU,1683600271
196,yanchep,-31.55,115.6833,26.45,40,7,7.08,AU,1683600486
197,zaozersk,69.4005,32.4476,0.64,99,100,1.5,RU,1683600486
198,sergeyevka,53.88,67.4158,10.12,37,100,4.13,KZ,1683600486
199,port lincoln,-34.7333,135.8667,16.04,66,87,4.49,AU,1683600074
200,ad dilam,23.9915,47.1627,30.23,16,57,3.99,SA,1683600324
201,dunedin,-45.8742,170.5036,14.04,89,100,4.3,NZ,1683600285
202,kayangel,8.0823,134.7173,28.76,73,78,2.15,PW,1683600487
203,kiunga,-6.1219,141.2906,24.09,99,100,0.11,PG,1683600254
204,willmar,45.1219,-95.0433,16.97,59,75,3.09,US,1683600488
205,broome,42.2506,-75.833,12.21,57,0,4.63,US,1683600488
206,gadzhiyevo,69.2551,33.3362,0.76,100,100,3.19,RU,1683600199
207,port macquarie,-31.4333,152.9167,20.5,52,80,6.81,AU,1683600488
208,fuding,27.3273,120.214,19.56,75,92,1.2,CN,1683600488
209,xilin hot,43.9667,116.0333,18.46,19,71,1.17,CN,1683600488
210,vandalia,39.8906,-84.1988,20.71,85,75,3.6,US,1683600489
211,waspan,14.7419,-83.9717,23.81,83,68,1.78,NI,1683600489
212,shkurinskaya,46.5858,39.3599,6.41,95,100,6.37,RU,1683600489
213,grand falls-windsor,48.9332,-55.6649,2.5,92,100,1.34,CA,1683600256
214,ta`u,-14.2336,-169.5144,27.95,79,27,5.45,AS,1683600271
215,college,64.8569,-147.8028,14.18,43,40,2.06,US,1683600316
216,alice springs,-23.7,133.8833,13.75,30,0,8.75,AU,1683600240
217,timimoun,29.2639,0.231,23.21,16,0,3.09,DZ,1683600490
218,cuamba,-14.8031,36.5372,15.67,84,44,1.32,MZ,1683600490
219,kerikeri,-35.2268,173.9474,17.17,97,99,0.89,NZ,1683600039
220,itoman,26.1247,127.6694,25.43,60,20,8.75,JP,1683600491
221,vylkove,45.4021,29.586,9.88,88,100,6.68,UA,1683600491
222,aripuana,-9.1667,-60.6333,22.57,99,100,0.92,BR,1683600491
223,altamira,-3.2033,-52.2064,23.62,96,78,1.04,BR,1683600262
224,urangan,-25.3,152.9,20.12,46,0,5.87,AU,1683600491
225,labe,11.3182,-12.2833,18.36,92,100,1.75,GN,1683600492
226,chonchi,-42.6128,-73.8092,7.84,94,100,0.47,CL,1683600438
227,yenotayevka,47.2456,47.0281,8.07,84,100,7.89,RU,1683600492
228,edmundston,47.3737,-68.3251,1.63,77,0,3.6,CA,1683600492
229,bang rakam,16.7585,100.1174,36.09,50,0,2.06,TH,1683600492
230,ar rutbah,33.0381,40.2848,17.48,52,99,5.53,IQ,1683600211
231,toliara,-23.35,43.6667,22.33,69,3,2.32,MG,1683600227
232,togur,58.3631,82.8265,7.24,38,100,5.56,RU,1683600493
233,kegen,43.0197,79.2203,9.48,37,0,1.58,KZ,1683600493
234,kushk,33.2957,61.9522,22.22,9,0,1.46,AF,1683600493
235,awjilah,29.1081,21.2869,20.72,28,10,4.53,LY,1683600493
236,shagonar,51.5333,92.8,8.82,86,100,0.75,RU,1683600494
237,yarmouth,41.7057,-70.2286,15.26,51,20,7.6,US,1683600494
238,horta,38.5333,-28.6333,16.12,94,100,0.89,PT,1683600068
239,arraial do cabo,-22.9661,-42.0278,24.04,84,21,9.78,BR,1683600245
240,isafjordur,66.0755,-23.124,4.88,98,100,2.18,IS,1683600244
241,kirando,-7.4167,30.6,21.91,75,21,3.75,TZ,1683600494
242,oskarshamn,57.2645,16.4484,3.1,63,17,2.1,SE,1683600495
243,hauterive,46.0901,3.4459,13.53,94,99,1.54,FR,1683600495
244,pacific grove,36.6177,-121.9166,15.01,81,20,4.63,US,1683600233
245,kota kinabalu,5.9749,116.0724,31.99,66,20,1.54,MY,1683600222
246,keflavik,64.0049,-22.5624,8.95,100,100,2.57,IS,1683600216
247,sandnessjoen,66.0217,12.6316,9.25,57,96,0.45,NO,1683600496
248,st. john's,47.5649,-52.7093,6.55,96,100,9.77,CA,1683600119
249,naze,28.3667,129.4833,23.51,60,29,7.33,JP,1683600206
250,hilo,19.7297,-155.09,26.85,57,0,2.57,US,1683600045
251,puerto colombia,10.9878,-74.9547,28.05,90,37,9.43,CO,1683600190
252,hepo,23.4308,115.8299,22.76,83,95,1.48,CN,1683600496
253,tucupita,9.0622,-62.051,24.3,93,96,2.17,VE,1683600211
254,plainview,40.7765,-73.4673,19.17,70,0,0.45,US,1683600289
255,afaahiti,-17.75,-149.2833,27.93,76,37,1.41,PF,1683600270
256,chibougamau,49.9168,-74.3659,2.79,48,40,2.57,CA,1683600223
257,sao vicente,-23.9631,-46.3919,26.26,26,20,0.45,BR,1683600422
258,minbu,20.1833,94.8833,35.99,37,82,4.23,MM,1683600497
259,ar ruways,24.1103,52.7306,28.59,28,99,4.46,AE,1683600424
260,benxi,41.2886,123.765,20.18,16,57,3.78,CN,1683600498
